method,SR,SPL,CollisionRate,PathLenRatio,LatencyMs
BEV seed=12345,0.44,0.42802121169823776,0.61,0.9182503610499428,2.8972254675592723
BEV seed=12345 +safety,0.53,0.5082564555378791,0.53,0.9169383456653823,3.217326893534137
Flat seed=12345,0.45,0.4392132417978549,0.59,0.9125900878355033,1.8611281613531774
Flat seed=12345 +safety,0.51,0.488366152369244,0.51,0.9170547317825929,2.195333197995221
BEV seed=42,0.32,0.32,0.69,0.9109382018634473,2.7755465033513826
BEV seed=42 +safety,0.38,0.3785053619735032,0.64,0.9210764493520467,3.130789264226729
Flat seed=42,0.34,0.3395343713175425,0.69,0.9143598239521802,1.8101797396052604
Flat seed=42 +safety,0.42,0.41951474162111985,0.64,0.9136387277469671,2.2225976189812884
BEV seed=7,0.32,0.31892559990278074,0.71,0.9292402165264206,2.767155457067767
BEV seed=7 +safety,0.45,0.4478054823429643,0.6,0.9279284694367541,3.109321252838208
Flat seed=7,0.35,0.33991145671776196,0.68,0.920245414476899,1.7979628897052617
Flat seed=7 +safety,0.43,0.4198439317400938,0.61,0.9173855865811049,2.2818673112134427
BEV seed=31337,0.41,0.4098540501901124,0.65,0.9171188211309621,2.9990177114863688
BEV seed=31337 +safety,0.54,0.5397158524128822,0.55,0.9170516614739751,3.229620273674897
Flat seed=31337,0.4,0.3987746674399101,0.64,0.9165259879109909,1.8936861229308213
Flat seed=31337 +safety,0.52,0.5198816657199778,0.53,0.9133328892525658,2.1979342386551
