method,SR,SPL,CollisionRate,PathLenRatio,LatencyMs,notes
A* Upper Bound,0.48,0.47,0.54,0.8942129723920352,2.7557895409470143,seed=12345 n=100 deterministic
A* + safety,0.5,0.49,0.5,0.8960349312183329,2.630349664405034,seed=12345 n=100 deterministic
BEV-VAWA (full),0.45,0.4387146087036807,0.58,0.9218954441539826,5.536461520677836,seed=12345 n=100
BEV-VAWA (full) seed=42,0.34,0.33813386751555624,0.69,0.9184633214897081,6.068258481650475,seed=42 n=100
BEV-VAWA (full) seed=7,0.37,0.3695698739950457,0.68,0.9237605120066495,5.888921274870296,seed=7 n=100
BEV-VAWA (full) seed=31337,0.43,0.42895186639058946,0.63,0.9165401081363321,5.528480207679678,seed=31337 n=100
BEV-VAWA (full) mean4seeds,0.3975,0.3938,0.645,0.9202,5.755,mean over seeds 12345/42/7/31337 (std: SR=0.051 SPL=0.048 Coll=0.051)
BEV-VAWA (full+safety),0.53,0.5186213031654247,0.5,0.9136526396229266,6.052030052554683,seed=12345 n=100
BEV-VAWA (full+safety) seed=42,0.43,0.4281345818413305,0.63,0.9188750264090056,6.155618695691816,seed=42 n=100
BEV-VAWA (full+safety) seed=7,0.46,0.45906334201288806,0.6,0.9225659178102827,6.124987480725834,seed=7 n=100
BEV-VAWA (full+safety) seed=31337,0.54,0.5398670107657976,0.56,0.9141101690753777,6.085806827724741,seed=31337 n=100
BEV-VAWA (full+safety) mean4seeds,0.49,0.4864,0.5725,0.9173,6.105,mean over seeds 12345/42/7/31337 (std: SR=0.054 SPL=0.052 Coll=0.056; paired deltaSR=+0.093±0.013)
BEV-VAWA (no_wa),0.39,0.378654711831835,0.63,0.9208718226803883,6.0026340358684145,seed=12345 n=100 ablation
BEV-VAWA (no_unc),0.45,0.4387146087036807,0.58,0.9218954441539826,5.566914956666754,seed=12345 n=100 ablation byte-identical to Full => unc term inactive
BEV-VAWA (h1),0.44,0.4288368912469587,0.58,0.9144791234611429,5.030940035581201,seed=12345 n=100 ablation rollout H=3->1 retrained
FPV-BC seed=12345,0.39,0.3796124000773466,0.66,0.9343974302086302,1.7062053020156112,seed=12345 n=100 baseline
FPV-BC seed=42,0.31,0.30978180884042833,0.71,0.9361688155309669,1.5899379959120556,seed=42 n=100 baseline
FPV-BC seed=7,0.36,0.3496123751331524,0.66,0.9360535763604809,1.5425136758760567,seed=7 n=100 baseline
FPV-BC seed=31337,0.33,0.32977763383877523,0.72,0.9451483912555805,1.3864106860656935,seed=31337 n=100 baseline
FPV-BC mean4seeds,0.3475,0.3422,0.6875,0.9379,1.5563,mean over seeds 12345/42/7/31337 (std: SR=0.030 Coll=0.028)
BEV-BC seed=12345,0.39,0.3797109838826178,0.62,0.91662390153813,4.556746186629573,seed=12345 n=100 baseline
BEV-BC seed=42,0.3,0.29977847619433223,0.71,0.9141783920831573,4.26151468138381,seed=42 n=100 baseline
BEV-BC seed=7,0.29,0.28,0.75,0.9128043684683215,4.436889939274073,seed=7 n=100 baseline
BEV-BC seed=31337,0.33,0.32982450744481057,0.69,0.9261581721952482,4.420383037939654,seed=31337 n=100 baseline
BEV-BC mean4seeds,0.3275,0.3223,0.6925,0.9174,4.4189,mean over seeds 12345/42/7/31337 (std: SR=0.039 Coll=0.047)
BEV-VA seed=12345,0.37,0.35891673879239605,0.64,0.9185990438494268,4.164213218677795,seed=12345 n=100 baseline
BEV-VA seed=42,0.3,0.29919321287918327,0.73,0.9172198952394388,4.012282120616933,seed=42 n=100 baseline
BEV-VA seed=7,0.3,0.28920051031204763,0.73,0.9167441785510823,4.022107301231275,seed=7 n=100 baseline
BEV-VA seed=31337,0.33,0.3279013019300238,0.67,0.9318700011237715,4.323155349164402,seed=31337 n=100 baseline
BEV-VA mean4seeds,0.3250,0.3188,0.6925,0.9211,4.1304,mean over seeds 12345/42/7/31337 (std: SR=0.029 Coll=0.039)
